Name,Weight,label
apple_fuji_S_1-103,254,보통
apple_fuji_S_1-104,254,보통
apple_fuji_S_1-105,254,보통
apple_fuji_S_1-106,254,보통
apple_fuji_S_1-107,254,보통
apple_fuji_S_1-108,254,보통
apple_fuji_S_1-121,254,보통
apple_fuji_S_1-122,254,보통
apple_fuji_S_1-123,254,보통
apple_fuji_S_1-124,254,보통
apple_fuji_S_1-125,254,보통
apple_fuji_S_1-126,254,보통
apple_fuji_S_1-127,254,보통
apple_fuji_S_1-128,254,보통
apple_fuji_S_1-129,254,보통
apple_fuji_S_1-130,254,보통
apple_fuji_S_1-131,254,보통
apple_fuji_S_1-132,254,보통
apple_fuji_S_1-133,254,보통
apple_fuji_S_1-134,254,보통
apple_fuji_S_1-135,254,보통
apple_fuji_S_1-136,254,보통
apple_fuji_S_1-137,254,보통
apple_fuji_S_1-138,254,보통
apple_fuji_S_1-139,254,보통
apple_fuji_S_1-140,254,보통
apple_fuji_S_1-141,254,보통
apple_fuji_S_1-142,254,보통
apple_fuji_S_1-143,254,보통
apple_fuji_S_1-144,254,보통
apple_fuji_S_1-31,254,보통
apple_fuji_S_1-32,254,보통
apple_fuji_S_1-33,254,보통
apple_fuji_S_1-34,254,보통
apple_fuji_S_1-35,254,보통
apple_fuji_S_1-36,254,보통
apple_fuji_S_10-100,258,보통
apple_fuji_S_10-101,258,보통
apple_fuji_S_10-102,258,보통
apple_fuji_S_10-103,258,보통
apple_fuji_S_10-104,258,보통
apple_fuji_S_10-105,258,보통
apple_fuji_S_10-106,258,보통
apple_fuji_S_10-107,258,보통
apple_fuji_S_10-108,258,보통
apple_fuji_S_10-121,258,보통
apple_fuji_S_10-122,258,보통
apple_fuji_S_10-123,258,보통
apple_fuji_S_10-124,258,보통
apple_fuji_S_10-125,258,보통
apple_fuji_S_10-126,258,보통
apple_fuji_S_10-127,258,보통
apple_fuji_S_10-128,258,보통
apple_fuji_S_10-129,258,보통
apple_fuji_S_10-130,258,보통
apple_fuji_S_10-131,258,보통
apple_fuji_S_10-132,258,보통
apple_fuji_S_10-133,258,보통
apple_fuji_S_10-134,258,보통
apple_fuji_S_10-135,258,보통
apple_fuji_S_10-136,258,보통
apple_fuji_S_10-137,258,보통
apple_fuji_S_10-138,258,보통
apple_fuji_S_10-139,258,보통
apple_fuji_S_10-140,258,보통
apple_fuji_S_10-141,258,보통
apple_fuji_S_10-142,258,보통
apple_fuji_S_10-143,258,보통
apple_fuji_S_10-144,258,보통
apple_fuji_S_10-25,258,보통
apple_fuji_S_10-26,258,보통
apple_fuji_S_10-27,258,보통
apple_fuji_S_10-28,258,보통
apple_fuji_S_10-29,258,보통
apple_fuji_S_10-30,258,보통
apple_fuji_S_10-31,258,보통
apple_fuji_S_10-32,258,보통
apple_fuji_S_10-33,258,보통
apple_fuji_S_10-34,258,보통
apple_fuji_S_10-35,258,보통
apple_fuji_S_10-36,258,보통
apple_fuji_S_10-49,258,보통
apple_fuji_S_10-50,258,보통
apple_fuji_S_10-51,258,보통
apple_fuji_S_10-52,258,보통
apple_fuji_S_10-53,258,보통
apple_fuji_S_10-54,258,보통
apple_fuji_S_10-55,258,보통
apple_fuji_S_10-56,258,보통
apple_fuji_S_10-57,258,보통
apple_fuji_S_10-58,258,보통
apple_fuji_S_10-59,258,보통
apple_fuji_S_10-60,258,보통
apple_fuji_S_10-61,258,보통
apple_fuji_S_10-62,258,보통
apple_fuji_S_10-63,258,보통
apple_fuji_S_10-64,258,보통
apple_fuji_S_10-65,258,보통
apple_fuji_S_10-66,258,보통
apple_fuji_S_10-67,258,보통
apple_fuji_S_10-68,258,보통
apple_fuji_S_10-69,258,보통
apple_fuji_S_10-70,258,보통
apple_fuji_S_10-71,258,보통
apple_fuji_S_10-72,258,보통
apple_fuji_S_10-97,258,보통
apple_fuji_S_10-98,258,보통
apple_fuji_S_10-99,258,보통
apple_fuji_S_11-100,262,보통
apple_fuji_S_11-101,262,보통
apple_fuji_S_11-102,262,보통
apple_fuji_S_11-103,262,보통
apple_fuji_S_11-104,262,보통
apple_fuji_S_11-105,262,보통
apple_fuji_S_11-106,262,보통
apple_fuji_S_11-107,262,보통
apple_fuji_S_11-108,262,보통
apple_fuji_S_11-121,262,보통
apple_fuji_S_11-122,262,보통
apple_fuji_S_11-123,262,보통
apple_fuji_S_11-124,262,보통
apple_fuji_S_11-125,262,보통
apple_fuji_S_11-126,262,보통
apple_fuji_S_11-127,262,보통
apple_fuji_S_11-128,262,보통
apple_fuji_S_11-129,262,보통
apple_fuji_S_11-130,262,보통
apple_fuji_S_11-131,262,보통
apple_fuji_S_11-132,262,보통
apple_fuji_S_11-133,262,보통
apple_fuji_S_11-134,262,보통
apple_fuji_S_11-135,262,보통
apple_fuji_S_11-136,262,보통
